name,path,size,file_or_dir
.git,F:\GIT\Python_Seminar\first_project\Python_next_deep,168487,directory
Seminar_1,F:\GIT\Python_Seminar\first_project\Python_next_deep,13943,directory
Seminar_2,F:\GIT\Python_Seminar\first_project\Python_next_deep,17254,directory
Seminar_3,F:\GIT\Python_Seminar\first_project\Python_next_deep,15293,directory
Seminar_4,F:\GIT\Python_Seminar\first_project\Python_next_deep,14074,directory
Seminar_5,F:\GIT\Python_Seminar\first_project\Python_next_deep,13442,directory
Seminar_6,F:\GIT\Python_Seminar\first_project\Python_next_deep,25246,directory
Seminar_7,F:\GIT\Python_Seminar\first_project\Python_next_deep,23301,directory
Seminar_8,F:\GIT\Python_Seminar\first_project\Python_next_deep,17579,directory
.gitignore,F:\GIT\Python_Seminar\first_project\Python_next_deep,3241,file
LICENSE,F:\GIT\Python_Seminar\first_project\Python_next_deep,1105,file
README.md,F:\GIT\Python_Seminar\first_project\Python_next_deep,527,file
requirements.txt,F:\GIT\Python_Seminar\first_project\Python_next_deep,36,file
fsmonitor--daemon,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,0,directory
hooks,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,23513,directory
info,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,240,directory
logs,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,26983,directory
objects,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,110541,directory
refs,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,768,directory
COMMIT_EDITMSG,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,17,file
config,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,851,file
description,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,73,file
FETCH_HEAD,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,958,file
HEAD,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,26,file
index,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,4364,file
ORIG_HEAD,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,41,file
packed-refs,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git,112,file
cookies,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\fsmonitor--daemon,0,directory
applypatch-msg.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,478,file
commit-msg.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,896,file
fsmonitor-watchman.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,4726,file
post-update.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,189,file
pre-applypatch.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,424,file
pre-commit.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,1643,file
pre-merge-commit.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,416,file
pre-push.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,1374,file
pre-rebase.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,4898,file
pre-receive.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,544,file
prepare-commit-msg.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,1492,file
push-to-checkout.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,2783,file
update.sample,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\hooks,3650,file
exclude,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\info,240,file
refs,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs,16255,directory
HEAD,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs,10728,file
heads,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs,8869,directory
remotes,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs,7386,directory
main,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\heads,2211,file
Seminar_1,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\heads,988,file
Seminar_2,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\heads,826,file
Seminar_3,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\heads,1009,file
Seminar_4,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\heads,965,file
Seminar_5,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\heads,668,file
Seminar_6,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\heads,877,file
Seminar_7,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\heads,1002,file
Seminar_8,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\heads,323,file
origin,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\remotes,7386,directory
HEAD,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\remotes\origin,196,file
main,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\remotes\origin,2240,file
Seminar_1,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\remotes\origin,900,file
Seminar_2,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\remotes\origin,600,file
Seminar_3,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\remotes\origin,750,file
Seminar_4,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\remotes\origin,750,file
Seminar_5,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\remotes\origin,450,file
Seminar_6,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\remotes\origin,600,file
Seminar_7,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\remotes\origin,750,file
Seminar_8,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\logs\refs\remotes\origin,150,file
00,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,658,directory
01,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2266,directory
02,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,54,directory
03,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,228,directory
05,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,224,directory
06,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,175,directory
07,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,1543,directory
09,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,1049,directory
0a,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,131,directory
0b,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,317,directory
0c,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,658,directory
0f,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,1886,directory
10,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,720,directory
11,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2265,directory
13,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,846,directory
15,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,665,directory
17,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2091,directory
1a,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2923,directory
1b,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,984,directory
1c,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,717,directory
1d,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2288,directory
1f,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,18,directory
20,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,457,directory
22,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,350,directory
25,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,1916,directory
27,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,594,directory
28,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,800,directory
29,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,222,directory
2a,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,155,directory
2b,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,90,directory
31,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,223,directory
33,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,5875,directory
35,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,162,directory
36,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,348,directory
38,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,351,directory
3a,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,799,directory
3d,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2858,directory
3f,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,59,directory
41,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,59,directory
44,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,539,directory
47,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,880,directory
4f,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2679,directory
